Date,Close/Last,Volume,Open,High,Low
01/04/2022,$329.01,32674310,$334.83,$335.2,$326.12
01/03/2022,$334.75,28918010,$335.35,$338,$329.78
12/31/2021,$336.32,18000800,$338.51,$339.355,$335.85
12/30/2021,$339.32,15994470,$341.91,$343.13,$338.82
12/29/2021,$341.95,15041960,$341.3,$344.3,$339.68
12/28/2021,$341.25,15661470,$343.15,$343.81,$340.32
12/27/2021,$342.45,19947030,$335.46,$342.48,$335.43
12/23/2021,$334.69,19617850,$332.75,$336.39,$332.73
12/22/2021,$333.2,24831490,$328.3,$333.605,$325.75
12/21/2021,$327.29,24740600,$323.29,$327.73,$319.8
12/20/2021,$319.91,28326530,$320.05,$322.8,$317.57
12/17/2021,$323.8,47983710,$320.88,$324.92,$317.25
12/16/2021,$324.9,35034830,$335.71,$336.76,$323.02
12/15/2021,$334.65,35381120,$328.61,$335.19,$324.5
12/14/2021,$328.34,44438700,$333.22,$334.64,$324.11
12/13/2021,$339.4,28899430,$340.68,$343.79,$339.08
12/10/2021,$342.54,38095690,$334.98,$343,$334.79
12/09/2021,$333.1,22214160,$334.41,$336.489,$332.12
12/08/2021,$334.97,24760990,$335.31,$335.5,$330.8
12/07/2021,$334.92,31021940,$331.64,$335.8,$330.1
12/06/2021,$326.19,30032560,$323.95,$327.45,$319.23
