Date,Close/Last,Volume,Open,High,Low
01/04/2022,$179.7,99310440,$182.63,$182.94,$179.12
01/03/2022,$182.01,104701200,$177.83,$182.88,$177.71
12/31/2021,$177.57,64062260,$178.085,$179.23,$177.26
12/30/2021,$178.2,59773010,$179.47,$180.57,$178.09
12/29/2021,$179.38,62348930,$179.33,$180.63,$178.14
12/28/2021,$179.29,79144340,$180.16,$181.33,$178.53
12/27/2021,$180.33,74919580,$177.085,$180.42,$177.07
12/23/2021,$176.28,68356570,$175.85,$176.8499,$175.27
12/22/2021,$175.64,92135300,$173.04,$175.86,$172.15
12/21/2021,$172.99,91185910,$171.555,$173.2,$169.12
12/20/2021,$169.75,107499100,$168.28,$170.58,$167.46
12/17/2021,$171.14,195923400,$169.93,$173.47,$169.69
12/16/2021,$172.26,150185800,$179.28,$181.14,$170.75
12/15/2021,$179.3,131063300,$175.11,$179.5,$172.3108
12/14/2021,$174.33,139380400,$175.25,$177.74,$172.21
12/13/2021,$175.74,153237000,$181.115,$182.13,$175.53
12/10/2021,$179.45,115402700,$175.205,$179.63,$174.69
12/09/2021,$174.56,108923700,$174.91,$176.75,$173.92
12/08/2021,$175.08,116998900,$172.125,$175.96,$170.7
12/07/2021,$171.18,120405400,$169.08,$171.58,$168.34
12/06/2021,$165.32,107497000,$164.29,$167.8799,$164.28
